prospect_id,organization_name,website,country,organization_type,sector_guess,decision_maker_name,target_email,custom_page_paths_csv,booking_link_45min,commercial_priority_default,research_scope,outreach_attempt_count,last_response_status,last_sequence_result,stop_reason,paused,do_not_contact,niche_status,next_action_at,notes_internal
prospect-034,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-035,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-036,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-037,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-038,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-039,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-040,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-041,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-042,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-043,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-044,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-045,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-046,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-047,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-048,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-049,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-050,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-051,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-052,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-053,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-054,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-055,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-056,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-057,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-058,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-059,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-060,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-061,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-062,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-063,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-064,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-065,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-066,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-067,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-068,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-069,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-070,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-071,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-072,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-073,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-074,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-075,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-076,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-077,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-078,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-079,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-080,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-081,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-082,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-083,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-084,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-085,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-086,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-087,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-088,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-089,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-090,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-091,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-092,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-093,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-094,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-095,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-096,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-097,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-098,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-099,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-100,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
