prospect_id,organization_name,website,country,organization_type,sector_guess,decision_maker_name,target_email,custom_page_paths_csv,booking_link_45min,commercial_priority_default,research_scope,source_backend,source_label,raw_source_id,niche_status,status,paused,last_sequence_result,last_response_status,stop_reason,next_action_at,created_at,updated_at
ci-sib-soci-t-ivoirienne-de-banque-011,SIB — Société Ivoirienne de Banque,https://www.sib.ci,Côte d'Ivoire,Banque privée,Banque / Finance,Directeur Général,contact@sib.ci,,https://calendly.com/transferai/45min,tier2,public_web_only,crm_import_ci_200,Prospection CI — Banque / Finance,,banque_kyc_reporting,ready,False,,,,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z
ci-coris-bank-international-ci-012,Coris Bank International CI,https://www.corisbankinternational.com,Côte d'Ivoire,Banque privée,Banque / Finance,Directeur Général,contact.ci@corisbank.com,,https://calendly.com/transferai/45min,tier2,public_web_only,crm_import_ci_200,Prospection CI — Banque / Finance,,banque_kyc_reporting,ready,False,,,,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z
ci-attijariwafa-bank-ci-013,Attijariwafa Bank CI,https://www.attijariwafabank.com,Côte d'Ivoire,Banque privée multinationale,Banque / Finance,Directeur Général,contact.ci@attijariwafabank.com,,https://calendly.com/transferai/45min,tier2,public_web_only,crm_import_ci_200,Prospection CI — Banque / Finance,,banque_kyc_reporting,ready,False,,,,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z
ci-banque-atlantique-c-te-d-ivoire-014,Banque Atlantique Côte d'Ivoire,https://www.banqueatlantique.net,Côte d'Ivoire,Banque privée,Banque / Finance,Directeur Général,info.ci@banqueatlantique.net,,https://calendly.com/transferai/45min,tier2,public_web_only,crm_import_ci_200,Prospection CI — Banque / Finance,,banque_kyc_reporting,ready,False,,,,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z
ci-boa-c-te-d-ivoire-015,BOA Côte d'Ivoire,https://www.boacotedivoire.com,Côte d'Ivoire,Banque privée,Banque / Finance,Directeur Général,contact@boacotedivoire.com,,https://calendly.com/transferai/45min,tier2,public_web_only,crm_import_ci_200,Prospection CI — Banque / Finance,,banque_kyc_reporting,ready,False,,,,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z
ci-orabank-c-te-d-ivoire-016,Orabank Côte d'Ivoire,https://www.orabank.net/ci,Côte d'Ivoire,Banque privée,Banque / Finance,Directeur Général,contact.ci@orabank.net,,https://calendly.com/transferai/45min,tier2,public_web_only,crm_import_ci_200,Prospection CI — Banque / Finance,,banque_kyc_reporting,ready,False,,,,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z
ci-versus-bank-017,Versus Bank,https://www.versusbank.com,Côte d'Ivoire,Banque privée,Banque / Finance,Directeur Général,contact@versusbank.com,,https://calendly.com/transferai/45min,tier2,public_web_only,crm_import_ci_200,Prospection CI — Banque / Finance,,banque_kyc_reporting,ready,False,,,,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z
ci-gtbank-c-te-d-ivoire-018,GTBank Côte d'Ivoire,https://www.gtbank.ci,Côte d'Ivoire,Banque privée internationale,Banque / Finance,Directeur Général,contact@gtbank.ci,,https://calendly.com/transferai/45min,tier2,public_web_only,crm_import_ci_200,Prospection CI — Banque / Finance,,banque_kyc_reporting,ready,False,,,,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z
ci-uba-c-te-d-ivoire-019,UBA Côte d'Ivoire,https://www.ubagroup.com/ivory-coast,Côte d'Ivoire,Banque privée internationale,Banque / Finance,Directeur Général,uba.ci@ubagroup.com,,https://calendly.com/transferai/45min,tier2,public_web_only,crm_import_ci_200,Prospection CI — Banque / Finance,,banque_kyc_reporting,ready,False,,,,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z
ci-baci-banque-africaine-pour-le-commerce-020,BACI — Banque Africaine pour le Commerce,https://www.baci-bank.com,Côte d'Ivoire,Banque privée,Banque / Finance,Directeur Général,contact@baci-bank.com,,https://calendly.com/transferai/45min,tier2,public_web_only,crm_import_ci_200,Prospection CI — Banque / Finance,,banque_kyc_reporting,ready,False,,,,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z
ci-nsia-assurances-c-te-d-ivoire-021,NSIA Assurances Côte d'Ivoire,https://www.nsia.ci,Côte d'Ivoire,Assurance privée,Assurance,Directeur Général,contact@nsia.ci,,https://calendly.com/transferai/45min,tier1,public_web_only,crm_import_ci_200,Prospection CI — Assurance,,reporting_financier_assiste,ready,False,,,,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z
ci-allianz-c-te-d-ivoire-022,Allianz Côte d'Ivoire,https://www.allianz.ci,Côte d'Ivoire,Assurance multinationale,Assurance,Directeur Général,contact@allianz.ci,,https://calendly.com/transferai/45min,tier1,public_web_only,crm_import_ci_200,Prospection CI — Assurance,,reporting_financier_assiste,ready,False,,,,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z
ci-sanlam-c-te-d-ivoire-023,Sanlam Côte d'Ivoire,https://www.sanlam.ci,Côte d'Ivoire,Assurance multinationale,Assurance,Directeur Général,contact@sanlam.ci,,https://calendly.com/transferai/45min,tier2,public_web_only,crm_import_ci_200,Prospection CI — Assurance,,reporting_financier_assiste,ready,False,,,,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z
ci-saham-assurance-ci-024,Saham Assurance CI,https://www.saham.ci,Côte d'Ivoire,Assurance privée,Assurance,Directeur Général,contact@saham.ci,,https://calendly.com/transferai/45min,tier2,public_web_only,crm_import_ci_200,Prospection CI — Assurance,,reporting_financier_assiste,ready,False,,,,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z
ci-axa-c-te-d-ivoire-025,AXA Côte d'Ivoire,https://www.axa.ci,Côte d'Ivoire,Assurance multinationale,Assurance,Directeur Général,contact@axa.ci,,https://calendly.com/transferai/45min,tier2,public_web_only,crm_import_ci_200,Prospection CI — Assurance,,reporting_financier_assiste,ready,False,,,,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z
ci-sunu-assurances-ci-026,SUNU Assurances CI,https://www.sunuassurances.com,Côte d'Ivoire,Assurance privée,Assurance,Directeur Général,contact.ci@sunuassurances.com,,https://calendly.com/transferai/45min,tier2,public_web_only,crm_import_ci_200,Prospection CI — Assurance,,reporting_financier_assiste,ready,False,,,,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z
ci-cnar-caisse-nationale-de-retraite-027,CNAR — Caisse Nationale de Retraite,https://www.cnar.ci,Côte d'Ivoire,Institution publique,Retraite / Protection sociale,Directeur Général,contact@cnar.ci,,https://calendly.com/transferai/45min,tier2,public_web_only,crm_import_ci_200,Prospection CI — Retraite / Protection sociale,,reporting_financier_assiste,ready,False,,,,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z
ci-cie-compagnie-ivoirienne-d-lectricit-028,CIE — Compagnie Ivoirienne d'Électricité,https://www.cie.ci,Côte d'Ivoire,Concessionnaire public/privé,Énergie / Électricité,Directeur Général,contact@cie.ci,,https://calendly.com/transferai/45min,tier1,public_web_only,crm_import_ci_200,Prospection CI — Énergie / Électricité,,workflow_administratif,ready,False,,,,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z
ci-ci-energies-029,CI-Energies,https://www.ci-energies.ci,Côte d'Ivoire,Entreprise publique,Énergie / Électricité,Directeur Général,contact@ci-energies.ci,,https://calendly.com/transferai/45min,tier1,public_web_only,crm_import_ci_200,Prospection CI — Énergie / Électricité,,workflow_administratif,ready,False,,,,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z
ci-petroci-030,PETROCI,https://www.petroci.ci,Côte d'Ivoire,Entreprise publique,Énergie / Pétrole & Gaz,Directeur Général,contact@petroci.ci,,https://calendly.com/transferai/45min,tier1,public_web_only,crm_import_ci_200,Prospection CI — Énergie / Pétrole & Gaz,,workflow_administratif,ready,False,,,,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z
ci-sodeci-soci-t-de-distribution-d-eau-ci-031,SODECI — Société de Distribution d'Eau CI,https://www.sodeci.ci,Côte d'Ivoire,Concessionnaire public/privé,Eau / Utilities,Directeur Général,contact@sodeci.ci,,https://calendly.com/transferai/45min,tier1,public_web_only,crm_import_ci_200,Prospection CI — Eau / Utilities,,workflow_administratif,ready,False,,,,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z
ci-gestoci-032,GESTOCI,https://www.gestoci.ci,Côte d'Ivoire,Entreprise d'État,Énergie / Stockage,Directeur Général,info@gestoci.ci,,https://calendly.com/transferai/45min,tier2,public_web_only,crm_import_ci_200,Prospection CI — Énergie / Stockage,,workflow_administratif,ready,False,,,,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z
ci-azito-nergie-033,Azito Énergie,https://www.azito.com,Côte d'Ivoire,Producteur d'énergie privé,Énergie / Production,Directeur Général,info@azito.com,,https://calendly.com/transferai/45min,tier2,public_web_only,crm_import_ci_200,Prospection CI — Énergie / Production,,workflow_administratif,ready,False,,,,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z
ci-totalenergies-ci-034,TotalEnergies CI,https://totalenergies.ci,Côte d'Ivoire,Multinationale,Énergie / Pétrole & Gaz,Directeur Général,contact@totalenergies.ci,,https://calendly.com/transferai/45min,tier1,public_web_only,crm_import_ci_200,Prospection CI — Énergie / Pétrole & Gaz,,workflow_administratif,ready,False,,,,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z
ci-shell-c-te-d-ivoire-035,Shell Côte d'Ivoire,https://www.shell.ci,Côte d'Ivoire,Multinationale,Énergie / Pétrole & Gaz,Directeur Général,info@shell.ci,,https://calendly.com/transferai/45min,tier2,public_web_only,crm_import_ci_200,Prospection CI — Énergie / Pétrole & Gaz,,workflow_administratif,ready,False,,,,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z
ci-sifca-036,SIFCA,https://www.sifca.ci,Côte d'Ivoire,Groupe privé,Agro-industrie / Palmier,Directeur Général,contact@sifca.ci,,https://calendly.com/transferai/45min,tier1,public_web_only,crm_import_ci_200,Prospection CI — Agro-industrie / Palmier,,machine_contenu_marketing,ready,False,,,,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z
ci-olam-c-te-d-ivoire-037,Olam Côte d'Ivoire,https://www.olamgroup.com,Côte d'Ivoire,Multinationale,Agro-industrie / Cacao,Directeur Général CI,olam.ci@olamgroup.com,,https://calendly.com/transferai/45min,tier1,public_web_only,crm_import_ci_200,Prospection CI — Agro-industrie / Cacao,,machine_contenu_marketing,ready,False,,,,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z
ci-nestl-c-te-d-ivoire-038,Nestlé Côte d'Ivoire,https://www.nestle.ci,Côte d'Ivoire,Multinationale,Industrie alimentaire,Directeur Général,contact@nestle.ci,,https://calendly.com/transferai/45min,tier1,public_web_only,crm_import_ci_200,Prospection CI — Industrie alimentaire,,machine_contenu_marketing,ready,False,,,,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z
ci-unilever-c-te-d-ivoire-039,Unilever Côte d'Ivoire,https://www.unilever.ci,Côte d'Ivoire,Multinationale,Industrie alimentaire,Directeur Général,contact@unilever.ci,,https://calendly.com/transferai/45min,tier1,public_web_only,crm_import_ci_200,Prospection CI — Industrie alimentaire,,machine_contenu_marketing,ready,False,,,,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z
ci-cargill-c-te-d-ivoire-040,Cargill Côte d'Ivoire,https://www.cargill.com,Côte d'Ivoire,Multinationale,Agro-industrie / Cacao,Directeur Général CI,contact.ci@cargill.com,,https://calendly.com/transferai/45min,tier1,public_web_only,crm_import_ci_200,Prospection CI — Agro-industrie / Cacao,,machine_contenu_marketing,ready,False,,,,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z
ci-sipef-cie-huileries-de-la-m-041,SIPEF — Cie Huileries de la Mé,https://www.sipef.com,Côte d'Ivoire,Entreprise privée,Agro-industrie / Hévéa,Directeur Général,info@sipef.com,,https://calendly.com/transferai/45min,tier2,public_web_only,crm_import_ci_200,Prospection CI — Agro-industrie / Hévéa,,machine_contenu_marketing,ready,False,,,,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z
ci-solibra-042,SOLIBRA,https://www.solibra.ci,Côte d'Ivoire,Entreprise privée,Industrie brassicole,Directeur Général,contact@solibra.ci,,https://calendly.com/transferai/45min,tier2,public_web_only,crm_import_ci_200,Prospection CI — Industrie brassicole,,machine_contenu_marketing,ready,False,,,,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z
ci-saph-soci-t-africaine-de-plantations-d-h-043,SAPH — Société Africaine de Plantations d'Hévéas,https://www.saph-ci.com,Côte d'Ivoire,Entreprise privée,Agro-industrie / Hévéa,Directeur Général,contact@saph-ci.com,,https://calendly.com/transferai/45min,tier2,public_web_only,crm_import_ci_200,Prospection CI — Agro-industrie / Hévéa,,machine_contenu_marketing,ready,False,,,,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z
ci-saf-cacao-044,SAF-CACAO,https://www.saf-cacao.com,Côte d'Ivoire,Entreprise privée,Agro-industrie / Cacao,Directeur Général,contact@saf-cacao.com,,https://calendly.com/transferai/45min,tier2,public_web_only,crm_import_ci_200,Prospection CI — Agro-industrie / Cacao,,machine_contenu_marketing,ready,False,,,,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z
ci-cca-coop-rative-des-cacaoculteurs-045,CCA — Coopérative des Cacaoculteurs,https://www.cca.ci,Côte d'Ivoire,Coopérative,Agro-industrie / Cacao,Directeur Général,info@cca.ci,,https://calendly.com/transferai/45min,tier3,public_web_only,crm_import_ci_200,Prospection CI — Agro-industrie / Cacao,,workflow_administratif,ready,False,,,,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z
ci-cfao-c-te-d-ivoire-046,CFAO Côte d'Ivoire,https://www.cfao.com/ci,Côte d'Ivoire,Groupe privé multinational,Distribution / Automobile,Directeur Général,contact.ci@cfao.com,,https://calendly.com/transferai/45min,tier1,public_web_only,crm_import_ci_200,Prospection CI — Distribution / Automobile,,service_client_multicanal,ready,False,,,,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z
ci-prosuma-047,Prosuma,https://www.prosuma.ci,Côte d'Ivoire,Groupe privé,Grande distribution,Directeur Général,contact@prosuma.ci,,https://calendly.com/transferai/45min,tier2,public_web_only,crm_import_ci_200,Prospection CI — Grande distribution,,service_client_multicanal,ready,False,,,,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z
ci-sdtm-st-distribution-traitement-de-mat-r-048,SDTM — Sté Distribution & Traitement de Matériel,https://www.sdtm.ci,Côte d'Ivoire,Entreprise privée,Distribution,Directeur Général,contact@sdtm.ci,,https://calendly.com/transferai/45min,tier2,public_web_only,crm_import_ci_200,Prospection CI — Distribution,,service_client_multicanal,ready,False,,,,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z
ci-tractafric-c-te-d-ivoire-049,Tractafric Côte d'Ivoire,https://www.tractafric.com,Côte d'Ivoire,Groupe privé multinational,Distribution / Équipements,Directeur Général,contact.ci@tractafric.com,,https://calendly.com/transferai/45min,tier2,public_web_only,crm_import_ci_200,Prospection CI — Distribution / Équipements,,service_client_multicanal,ready,False,,,,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z
ci-hayat-kimya-ci-050,Hayat Kimya CI,https://www.hayat.com.tr,Côte d'Ivoire,Multinationale,Industrie / Distribution,Directeur Général CI,info.ci@hayat.com,,https://calendly.com/transferai/45min,tier2,public_web_only,crm_import_ci_200,Prospection CI — Industrie / Distribution,,operations_terrain_coordination,ready,False,,,,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z
ci-cevital-c-te-d-ivoire-051,CEVITAL Côte d'Ivoire,https://www.cevital.com,Côte d'Ivoire,Multinationale,Agroalimentaire / Distribution,Directeur Général CI,contact.ci@cevital.com,,https://calendly.com/transferai/45min,tier2,public_web_only,crm_import_ci_200,Prospection CI — Agroalimentaire / Distribution,,machine_contenu_marketing,ready,False,,,,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z
ci-bnetd-bureau-national-d-tudes-techniques-052,BNETD — Bureau National d'Études Techniques,https://www.bnetd.ci,Côte d'Ivoire,Bureau d'études public,BTP / Ingénierie,Directeur Général,contact@bnetd.ci,,https://calendly.com/transferai/45min,tier1,public_web_only,crm_import_ci_200,Prospection CI — BTP / Ingénierie,,operations_terrain_coordination,ready,False,,,,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z
ci-bouygues-construction-ci-053,Bouygues Construction CI,https://www.bouygues-construction.com,Côte d'Ivoire,Multinationale,BTP,Directeur Général CI,bouygues.ci@bouygues.fr,,https://calendly.com/transferai/45min,tier1,public_web_only,crm_import_ci_200,Prospection CI — BTP,,operations_terrain_coordination,ready,False,,,,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z
ci-colas-c-te-d-ivoire-054,Colas Côte d'Ivoire,https://www.colas.ci,Côte d'Ivoire,Multinationale,BTP / Routes,Directeur Général,contact@colas.ci,,https://calendly.com/transferai/45min,tier1,public_web_only,crm_import_ci_200,Prospection CI — BTP / Routes,,operations_terrain_coordination,ready,False,,,,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z
ci-eiffage-ci-055,Eiffage CI,https://www.eiffage.com,Côte d'Ivoire,Multinationale,BTP / Concessions,Directeur Général CI,eiffage.ci@eiffage.fr,,https://calendly.com/transferai/45min,tier1,public_web_only,crm_import_ci_200,Prospection CI — BTP / Concessions,,operations_terrain_coordination,ready,False,,,,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z
ci-sogetra-056,SOGETRA,https://www.sogetra.ci,Côte d'Ivoire,Entreprise privée,BTP / TP,Directeur Général,contact@sogetra.ci,,https://calendly.com/transferai/45min,tier2,public_web_only,crm_import_ci_200,Prospection CI — BTP / TP,,operations_terrain_coordination,ready,False,,,,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z
ci-setraf-057,SETRAF,https://www.setraf.ci,Côte d'Ivoire,Entreprise privée,BTP / Travaux routiers,Directeur Général,info@setraf.ci,,https://calendly.com/transferai/45min,tier2,public_web_only,crm_import_ci_200,Prospection CI — BTP / Travaux routiers,,operations_terrain_coordination,ready,False,,,,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z
ci-gfc-grands-froids-de-c-te-d-ivoire-058,GFC — Grands Froids de Côte d'Ivoire,https://www.gfc.ci,Côte d'Ivoire,Entreprise privée,BTP / Froid industriel,Directeur Général,contact@gfc.ci,,https://calendly.com/transferai/45min,tier3,public_web_only,crm_import_ci_200,Prospection CI — BTP / Froid industriel,,operations_terrain_coordination,ready,False,,,,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z
ci-sietho-059,SIETHO,https://www.sietho.ci,Côte d'Ivoire,Entreprise privée,BTP / Immobilier,Directeur Général,info@sietho.ci,,https://calendly.com/transferai/45min,tier3,public_web_only,crm_import_ci_200,Prospection CI — BTP / Immobilier,,workflow_administratif,ready,False,,,,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z
ci-air-c-te-d-ivoire-060,Air Côte d'Ivoire,https://www.aircotedivoire.com,Côte d'Ivoire,Compagnie aérienne nationale,Transport aérien,Directeur Général,contact@aircotedivoire.com,,https://calendly.com/transferai/45min,tier1,public_web_only,crm_import_ci_200,Prospection CI — Transport aérien,,operations_terrain_coordination,ready,False,,,,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z
ci-port-autonome-d-abidjan-061,Port Autonome d'Abidjan,https://www.portabidjan.ci,Côte d'Ivoire,Établissement public,Port / Logistique,Directeur Général,contact@portabidjan.ci,,https://calendly.com/transferai/45min,tier1,public_web_only,crm_import_ci_200,Prospection CI — Port / Logistique,,operations_terrain_coordination,ready,False,,,,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z
ci-abidjan-terminal-062,Abidjan Terminal,https://www.abidjan-terminal.net,Côte d'Ivoire,Entreprise privée,Logistique portuaire,Directeur Général,contact@abidjan-terminal.net,,https://calendly.com/transferai/45min,tier1,public_web_only,crm_import_ci_200,Prospection CI — Logistique portuaire,,operations_terrain_coordination,ready,False,,,,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z
ci-bollor-transport-logistics-ci-063,Bolloré Transport & Logistics CI,https://www.bollore-logistics.com,Côte d'Ivoire,Multinationale,Logistique / Transport,Directeur Général CI,contact.ci@bollore-logistics.com,,https://calendly.com/transferai/45min,tier1,public_web_only,crm_import_ci_200,Prospection CI — Logistique / Transport,,operations_terrain_coordination,ready,False,,,,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z
